Crop production – categories,,
,1. Cereals,"(e.g. wheat, rice, maize, barley, sorghum, millet)"
,10. Beverage and stimulant crops,"(e.g. coffee, tea, cocoa, yerba mate)"
,"11. Spices, aromatic and medicinal plants","(e.g. pepper, cardamom, ginger, vanilla, medicinal herbs)"
,12. Other crops,(free text)
,2. Pulses (grain legumes),"(e.g. beans, peas, lentils, chickpea, cowpea)"
,3. Roots and tubers,"(e.g. potato, cassava, yam, sweet potato, taro)"
,4. Oilseed crops,"(e.g. soybean, sunflower, rapeseed, groundnut, sesame)"
,5. Sugar crops,"(e.g. sugarcane, sugar beet)"
,6. Vegetables and melons,"(e.g. tomato, onion, cabbage, cucumber, pumpkin)"
,7. Fruits and nuts (orchards & tree crops),"(e.g. apple, mango, citrus, banana, grape, almond, walnut)"
,8. Forage and fodder crops,"(e.g. alfalfa, clover, fodder maize, fodder beet, grasses)"
,9. Fibre crops,"(e.g. cotton, jute, flax, hemp, sisal)"